date,n1,n2,n3,n4,n5
2008/12/16,12,16,18,25,28
2008/12/17,14,22,5,8,11
2008/12/18,28,14,35,37,16
2008/12/19,8,12,28,24,18
2008/12/22,20,5,6,37,31
2008/12/23,3,25,20,37,11
2008/12/24,37,15,2,36,25
2008/12/25,38,18,37,8,32
2008/12/26,11,25,26,12,35
2008/12/29,36,9,34,22,20
2008/12/30,37,13,8,3,19
2008/12/31,37,39,12,8,36
2009/1/1,6,32,17,17,14
2009/1/2,30,20,38,39,12
2009/1/5,29,21,24,2,3
2009/1/6,9,2,11,10,37
2009/1/7,12,33,20,39,26
2009/1/8,32,35,28,34,27
2009/1/9,15,30,1,11,7
2009/1/12,10,22,36,20,15
2009/1/13,30,2,11,34,21
2009/1/14,14,34,38,25,4
2009/1/15,36,14,29,35,17
2009/1/16,9,25,28,35,8
2009/1/19,31,36,24,18,3
2009/1/20,32,38,26,8,5
2009/1/21,3,24,2,35,9
2009/1/22,5,4,25,21,35
2009/1/23,33,2,14,21,39
2009/1/26,31,7,2,14,39
2009/1/27,21,2,36,6,9
2009/1/28,8,29,9,26,5
2009/1/29,9,4,16,26,31
2009/1/30,16,19,38,31,30
2009/2/2,8,23,37,18,27
2009/2/3,5,30,39,31,18
2009/2/4,33,5,22,30,19
2009/2/5,16,4,19,25,7
2009/2/6,20,12,37,7,39
2009/2/9,23,6,15,12,21
2009/2/10,26,30,24,20,21
2009/2/11,17,37,18,23,5
2009/2/12,24,6,32,36,5
2009/2/13,38,4,5,32,29
2009/2/16,23,6,3,24,35
2009/2/17,25,18,36,1,9
2009/2/18,10,1,34,19,22
2009/2/19,31,23,7,9,15
2009/2/20,24,22,2,19,5
2009/2/23,32,33,15,39,22
2009/2/24,20,6,11,30,3
2009/2/25,36,28,22,16,24
2009/2/26,6,5,35,27,2
2009/2/27,13,18,1,25,9
2009/3/2,30,24,3,33,15
2009/3/3,21,19,22,1,11
2009/3/4,36,29,30,5,10
2009/3/5,1,31,25,29,38
2009/3/6,38,19,8,9,6
2009/3/9,24,10,33,21,36
2009/3/10,9,38,7,34,4
2009/3/11,12,19,36,39,32
2009/3/12,32,31,12,36,37
