"3星母艦(X,Y)","2星本命(X,Y)",絕對狙擊雙膽組合,歷史總產生,歷史總命中,回測期望真實勝率,常態性判定
"(5, 4)","(16, 12)","(27, 30)",1,1,100.0%,🌟 潛力雙膽
"(5, 5)","(7, 8)","(11, 22)",1,1,100.0%,🌟 潛力雙膽
"(5, 5)","(10, 10)","(20, 25)",1,1,100.0%,🌟 潛力雙膽
"(5, 4)","(12, 9)","(8, 17)",1,1,100.0%,🌟 潛力雙膽
"(5, 4)","(14, 13)","(8, 17)",1,1,100.0%,🌟 潛力雙膽
"(5, 4)","(6, 6)","(3, 17)",1,1,100.0%,🌟 潛力雙膽
"(5, 4)","(10, 10)","(21, 35)",1,1,100.0%,🌟 潛力雙膽
"(5, 4)","(11, 9)","(5, 9)",1,1,100.0%,🌟 潛力雙膽
"(5, 5)","(11, 9)","(5, 9)",1,1,100.0%,🌟 潛力雙膽
"(5, 4)","(13, 11)","(5, 20)",1,1,100.0%,🌟 潛力雙膽
"(5, 5)","(16, 15)","(11, 35)",1,1,100.0%,🌟 潛力雙膽
"(6, 5)","(16, 15)","(11, 35)",1,1,100.0%,🌟 潛力雙膽
"(5, 5)","(11, 11)","(15, 16)",1,1,100.0%,🌟 潛力雙膽
"(6, 5)","(11, 11)","(15, 16)",1,1,100.0%,🌟 潛力雙膽
"(5, 4)","(8, 9)","(19, 23)",1,1,100.0%,🌟 潛力雙膽
"(5, 4)","(11, 11)","(6, 32)",1,1,100.0%,🌟 潛力雙膽
"(5, 5)","(11, 11)","(6, 32)",1,1,100.0%,🌟 潛力雙膽
"(5, 4)","(15, 14)","(22, 34)",1,1,100.0%,🌟 潛力雙膽
"(5, 5)","(15, 14)","(22, 34)",1,1,100.0%,🌟 潛力雙膽
"(5, 5)","(12, 14)","(22, 32)",1,1,100.0%,🌟 潛力雙膽
"(6, 5)","(12, 14)","(22, 32)",1,1,100.0%,🌟 潛力雙膽
"(5, 4)","(12, 8)","(9, 34)",1,1,100.0%,🌟 潛力雙膽
"(5, 5)","(9, 7)","(5, 23)",1,1,100.0%,🌟 潛力雙膽
"(5, 5)","(7, 11)","(7, 11)",1,1,100.0%,🌟 潛力雙膽
"(5, 4)","(13, 12)","(7, 8)",1,1,100.0%,🌟 潛力雙膽
"(5, 5)","(13, 12)","(7, 8)",1,1,100.0%,🌟 潛力雙膽
"(6, 5)","(13, 12)","(7, 8)",1,1,100.0%,🌟 潛力雙膽
"(5, 4)","(10, 7)","(7, 27)",1,1,100.0%,🌟 潛力雙膽
"(8, 6)","(12, 10)","(8, 33)",1,1,100.0%,🌟 潛力雙膽
"(5, 4)","(11, 7)","(24, 26)",1,1,100.0%,🌟 潛力雙膽
"(5, 4)","(7, 9)","(22, 27)",1,1,100.0%,🌟 潛力雙膽
"(5, 5)","(9, 7)","(18, 20)",1,1,100.0%,🌟 潛力雙膽
"(5, 4)","(12, 11)","(31, 36)",1,1,100.0%,🌟 潛力雙膽
"(5, 5)","(12, 11)","(31, 36)",1,1,100.0%,🌟 潛力雙膽
"(5, 4)","(13, 13)","(26, 39)",1,1,100.0%,🌟 潛力雙膽
"(5, 5)","(13, 13)","(26, 39)",1,1,100.0%,🌟 潛力雙膽
"(5, 4)","(9, 10)","(3, 26)",1,1,100.0%,🌟 潛力雙膽
"(5, 4)","(11, 6)","(3, 39)",1,1,100.0%,🌟 潛力雙膽
"(5, 5)","(8, 9)","(8, 24)",1,1,100.0%,🌟 潛力雙膽
"(5, 5)","(8, 11)","(19, 34)",1,1,100.0%,🌟 潛力雙膽
"(5, 4)","(6, 8)","(7, 32)",1,1,100.0%,🌟 潛力雙膽
"(8, 6)","(11, 10)","(17, 20)",1,1,100.0%,🌟 潛力雙膽
"(5, 5)","(8, 11)","(7, 20)",1,1,100.0%,🌟 潛力雙膽
"(5, 5)","(8, 12)","(11, 31)",1,1,100.0%,🌟 潛力雙膽
"(5, 4)","(11, 14)","(4, 32)",1,1,100.0%,🌟 潛力雙膽
"(5, 4)","(13, 10)","(9, 14)",1,1,100.0%,🌟 潛力雙膽
"(5, 4)","(12, 6)","(1, 26)",1,1,100.0%,🌟 潛力雙膽
"(5, 4)","(8, 8)","(16, 29)",1,1,100.0%,🌟 潛力雙膽
"(5, 5)","(7, 6)","(19, 31)",1,1,100.0%,🌟 潛力雙膽
"(6, 5)","(11, 10)","(1, 31)",1,1,100.0%,🌟 潛力雙膽
"(5, 4)","(7, 9)","(5, 27)",1,1,100.0%,🌟 潛力雙膽
"(5, 5)","(10, 11)","(10, 19)",1,1,100.0%,🌟 潛力雙膽
"(5, 4)","(10, 6)","(19, 27)",1,1,100.0%,🌟 潛力雙膽
"(5, 4)","(9, 5)","(19, 28)",1,1,100.0%,🌟 潛力雙膽
"(5, 4)","(10, 12)","(17, 34)",1,1,100.0%,🌟 潛力雙膽
"(5, 5)","(10, 12)","(17, 34)",1,1,100.0%,🌟 潛力雙膽
"(5, 4)","(10, 9)","(11, 29)",1,1,100.0%,🌟 潛力雙膽
"(5, 5)","(8, 6)","(4, 7)",1,1,100.0%,🌟 潛力雙膽
"(5, 4)","(13, 10)","(7, 22)",1,1,100.0%,🌟 潛力雙膽
"(5, 5)","(13, 10)","(7, 22)",1,1,100.0%,🌟 潛力雙膽
"(5, 4)","(8, 9)","(23, 36)",1,1,100.0%,🌟 潛力雙膽
"(5, 4)","(7, 6)","(8, 34)",1,1,100.0%,🌟 潛力雙膽
"(5, 4)","(8, 12)","(8, 18)",1,1,100.0%,🌟 潛力雙膽
"(5, 4)","(7, 6)","(9, 33)",1,1,100.0%,🌟 潛力雙膽
"(6, 5)","(12, 9)","(2, 37)",1,1,100.0%,🌟 潛力雙膽
"(6, 5)","(12, 10)","(4, 37)",1,1,100.0%,🌟 潛力雙膽
"(5, 5)","(6, 5)","(25, 26)",1,1,100.0%,🌟 潛力雙膽
"(5, 5)","(8, 15)","(7, 35)",1,1,100.0%,🌟 潛力雙膽
"(7, 6)","(11, 13)","(20, 38)",1,1,100.0%,🌟 潛力雙膽
"(5, 4)","(13, 14)","(1, 10)",1,1,100.0%,🌟 潛力雙膽
"(5, 5)","(13, 14)","(1, 10)",1,1,100.0%,🌟 潛力雙膽
"(5, 5)","(6, 9)","(5, 19)",1,1,100.0%,🌟 潛力雙膽
"(5, 5)","(7, 9)","(4, 34)",1,1,100.0%,🌟 潛力雙膽
"(5, 4)","(11, 9)","(6, 36)",1,1,100.0%,🌟 潛力雙膽
"(5, 4)","(10, 9)","(12, 14)",1,1,100.0%,🌟 潛力雙膽
"(5, 5)","(10, 9)","(12, 14)",1,1,100.0%,🌟 潛力雙膽
"(5, 4)","(9, 9)","(22, 33)",1,1,100.0%,🌟 潛力雙膽
"(7, 6)","(13, 15)","(7, 29)",1,1,100.0%,🌟 潛力雙膽
"(5, 5)","(13, 15)","(7, 29)",1,1,100.0%,🌟 潛力雙膽
"(6, 5)","(10, 11)","(24, 36)",1,1,100.0%,🌟 潛力雙膽
"(5, 4)","(9, 9)","(2, 12)",1,1,100.0%,🌟 潛力雙膽
"(5, 4)","(6, 8)","(25, 29)",1,1,100.0%,🌟 潛力雙膽
"(5, 5)","(8, 8)","(24, 36)",1,1,100.0%,🌟 潛力雙膽
"(5, 4)","(10, 6)","(1, 5)",1,1,100.0%,🌟 潛力雙膽
"(6, 5)","(13, 9)","(1, 36)",1,1,100.0%,🌟 潛力雙膽
"(5, 4)","(9, 11)","(35, 38)",1,1,100.0%,🌟 潛力雙膽
"(7, 6)","(12, 11)","(19, 27)",1,1,100.0%,🌟 潛力雙膽
"(5, 5)","(12, 10)","(5, 28)",1,1,100.0%,🌟 潛力雙膽
"(5, 5)","(10, 12)","(10, 27)",1,1,100.0%,🌟 潛力雙膽
"(6, 5)","(10, 12)","(10, 27)",1,1,100.0%,🌟 潛力雙膽
"(5, 4)","(13, 9)","(27, 31)",1,1,100.0%,🌟 潛力雙膽
"(6, 5)","(13, 9)","(27, 31)",1,1,100.0%,🌟 潛力雙膽
"(5, 5)","(6, 7)","(19, 27)",1,1,100.0%,🌟 潛力雙膽
"(5, 5)","(12, 11)","(1, 27)",1,1,100.0%,🌟 潛力雙膽
"(6, 5)","(12, 11)","(1, 27)",1,1,100.0%,🌟 潛力雙膽
